,name,price,spec_score,votes,user_rating,os,weight,screen_size,resolution,battery,processor_name,processor_speed,graphics_card,rom_memory,internal_memory,wireless_connection,hardware_features
0,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹49,800",70,97 votes ,4.3,OS: Windows 11,2.29 kgHeavy,15.6 inchesAverage,1920 x 1080 pixelsAverage,"52.5 Wh, 3 Cell BatteryGood",5th Gen AMD Ryzen 5 5600H,6 x 3.3 GHz (Turbo Speed upto 4.2 GHz) Cores,"4 GB, AMD Radeon RX 6500M GraphicsLargest",8 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
1,Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),"₹1,02,990",78,71 votes ,4.3,OS: Windows 11,2.7 kgHeavy,16.1 inchesLarge,2560 x 1600 pixelsGood,80 Wh BatteryGood,14th Gen Intel Core i9 14900HX,8 x 2.2 GHz (Turbo Speed upto 5.8 GHz) Performance Cores16 x 1.6 GHz (Turbo Speed upto 4.1 GHz) Efficient Cores,"8 GB, NVIDIA GeForce RTX 4060 GraphicsLargest",16 GB DDR5 RAMLargest,1 TB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
2,Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹23,990",56,177 votes ,4.4,OS: Windows 11,1.56 kgAverage,15.6 inchesLargest,1920 x 1080 pixelsAverage,70 Wh BatteryGood,11th Gen Intel Core i3 1115G4,2 x 3 GHz (Turbo Speed upto 4.1 GHz) Cores,Intel UHD Graphics Graphics,8 GB LPDDR4 RAMLargest,512 GB SSD,"WiFi, Bluetooth","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
3,Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹62,990",60,"1,511 votes • 23 reviews",4.5,OS: Windows 11,870 gLight,13.3 inchesSmall,1080 x 1920 pixelsAverage,,12th Gen Intel Core i5 1240P,4 x 1.7 GHz (Turbo Speed upto 4.4 GHz) Performance Cores8 x 1.2 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,Intel Iris Xe Graphics Graphics,16 GB LPDDR5 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.1","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
4,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),"₹79,990",43,"20,380 votes • 43 reviews",4.7,OS: Mac,1.29 kgLight,13.3 inchesSmall,2560 x 1600 pixelsGood,49.9 Wh BatteryGood,Apple M1,4 x (Turbo Speed upto 3.2 GHz) Performance Cores4 x (Turbo Speed upto 2.1 GHz) Efficient Cores,8 GB DDR4 RAMSmallest,256 GB SSD,,"WiFi, Bluetooth v5.0","Backlit Keyboard, Inbuilt Microphone"
5,Lenovo V15 G4 ‎82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),"₹26,780",55,205 votes • 14 reviews,4.3,OS: Windows 11,1.65 kgAverage,15.6 inchesLargest,1920 x 1080 pixelsAverage,,7th Gen AMD Ryzen 3 7320U,4 x 2.4 GHz (Turbo Speed upto 4.1 GHz) Cores,AMD Radeon Graphics Graphics,8 GB LPDDR5 RAMLargest,512 GB SSD,"WiFi, Bluetooth",Inbuilt Microphone
6,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹35,990",55,"3,400 votes • 32 reviews",4.2,OS: Windows 11,1.69 kgAverage,15.6 inchesLarge,1920 x 1080 pixelsAverage,"41 Wh, 3 Cell BatteryGood",12th Gen Intel Core i3 1215U,2 x 1.2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,Intel UHD Graphics Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.2","Backlit Keyboard, Inbuilt Microphone"
7,HP 15s-fq5330TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹54,990",56,111 votes ,4.0,OS: Windows 11,1.69 kgAverage,15.6 inchesAverage,1920 x 1080 pixelsAverage,"41 Wh, 3 Cell BatteryGood",12th Gen Intel Core i5 1235U,2 x 1.3 GHz (Turbo Speed upto 4.4 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,Intel Integrated Iris Xe Graphics,16 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.0","Backlit Keyboard, Inbuilt Microphone"
8,Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹52,990",59,88 votes • 6 reviews,4.5,OS: Windows 11,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,"42 Wh, 3 Cell BatteryGood",12th Gen Intel Core i5 12500H,4 x 2.5 GHz (Turbo Speed upto 4.5 GHz) Performance Cores8 x 1.8 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,Intel Iris Xe Graphics,16 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.0","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
9,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),"₹99,900",47,"5,622 votes • 49 reviews",4.7,OS: Mac,1.24 kgLight,13.6 inchesSmall,2560 x 1664 pixelsGood,52.6 Wh BatteryGood,Apple M2,4 x (Turbo Speed upto 3.5 GHz) Performance Cores4 x (Turbo Speed upto 2.4 GHz) Efficient Cores,8-Core GPU Graphics,8 GB DDR4 RAMSmallest,256 GB SSD,"WiFi, Bluetooth v5.0","Backlit Keyboard, Inbuilt Microphone"
10,Zebronics Pro Series Z ZEB-NBC 4S Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹32,990",64,309 votes • 15 reviews,4.1,OS: Windows 11,1.76 kgHeavy,15.6 inchesAverage,1920 x 1080 pixelsAverage,38.5 Wh BatteryGood,12th Gen Intel Core i5 1235U,2 x 1.3 GHz (Turbo Speed upto 4.4 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,Intel Integrated Graphics,16 GB DDR4 RAMLargest,512 GB SSD,"WiFi, Bluetooth v5.0",2 MP Camera
11,HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹81,490",73,145 votes ,4.2,OS: Windows 11,2.48 kgHeavy,16.1 inchesLarge,1920 x 1080 pixelsAverage,"70 Wh, 4 Cell BatteryGood",7th Gen AMD Ryzen 7 7840HS,8 x 3.8 GHz (Turbo Speed upto 5.1 GHz) Cores,"6 GB, NVIDIA GeForce RTX 3050 GraphicsLarge",16 GB DDR5 RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
12,Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹24,990",51,"1,369 votes • 27 reviews",4.2,OS: Windows 11,1 Year Warranty,15.6 inchesLargest,1080 x 1920 pixelsAverage,17.85 Wh BatteryGood,11th Gen Intel Core i5 1135G7,4 x 2.4 GHz (Turbo Speed upto 4.2 GHz) Cores,Intel Graphics Graphics,8 GB DDR4 RAMLargest,512 GB SSD,"WiFi, Bluetooth","Backlit Keyboard, Inbuilt Microphone"
13,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹33,990",56,"1,492 votes • 20 reviews",4.2,OS: Windows 11,1.65 kgAverage,15.6 inchesLarge,1920 x 1080 pixelsAverage,"41 Wh, 3 Cell BatteryGood",12th Gen Intel Core i3 1215U,2 x 1.2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,Intel UHD Graphics Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.2",Inbuilt Microphone
14,Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),"₹26,749",57,772 votes • 21 reviews,4.1,OS: Windows 11,1.74 kgHeavy,15.6 inchesLargest,1920 x 1080 pixelsAverage,,5th Gen AMD Ryzen 3 5300U,4 x 2.6 GHz (Turbo Speed upto 3.8 GHz) Cores,AMD Radeon Graphics Graphics,8 GB DDR4 RAMLargest,512 GB SSD,"WiFi, Bluetooth v5.0",1 MP Camera
